Entry,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
404147,USA,North America,United States,2021-12-01,47976346.0,0.0,84627.714,775631.0,0.0,812.857,140473.1,0.0,247.787,2271.021,0.0,2.38,1.25,13671.0,40.412,53311.0,157.59,,,46673.0,137.967,673848613.0,1970662.0,1999.565,5.848,1211409.0,3.595,0.078,12.8,tests performed,477370837.0,234264679.0,202953700.0,50506232.0,2209329.0,1228558.0,143.78,70.56,61.13,15.21,3700.0,266856.0,0.08,48.66,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404148,USA,North America,United States,2021-12-02,47976346.0,0.0,84627.714,775631.0,0.0,812.857,140473.1,0.0,247.787,2271.021,0.0,2.38,1.25,13772.0,40.711,53587.0,158.406,,,47527.0,140.492,675895951.0,2047338.0,2005.64,6.075,1395855.0,4.142,0.076,13.2,tests performed,479568318.0,234705085.0,203354229.0,51872995.0,2197481.0,1538256.0,144.44,70.69,61.25,15.62,4633.0,328510.0,0.099,48.65,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404149,USA,North America,United States,2021-12-03,47976346.0,0.0,84627.714,775631.0,0.0,812.857,140473.1,0.0,247.787,2271.021,0.0,2.38,1.23,13888.0,41.054,54392.0,160.785,,,49644.0,146.75,677833193.0,1937242.0,2011.389,5.749,1563376.0,4.639,0.074,13.5,tests performed,482047790.0,235184112.0,203854914.0,53382177.0,2479472.0,1717963.0,145.19,70.84,61.4,16.08,5174.0,353016.0,0.106,48.63,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404150,USA,North America,United States,2021-12-04,47976346.0,0.0,84627.714,775631.0,0.0,812.857,140473.1,0.0,247.787,2271.021,0.0,2.38,1.2,13942.0,41.213,54572.0,161.317,,,50493.0,149.26,679203444.0,1370251.0,2015.455,4.066,1629664.0,4.836,0.073,13.7,tests performed,483549682.0,235479259.0,204317809.0,54129642.0,1501892.0,1803410.0,145.64,70.93,61.54,16.3,5432.0,364491.0,0.11,48.61,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404151,USA,North America,United States,2021-12-05,48727363.0,751017.0,107288.143,783935.0,8304.0,1186.286,142672.05,2198.952,314.136,2295.335,24.314,3.473,1.17,14149.0,41.825,55670.0,164.563,,,51297.0,151.636,680022002.0,818558.0,2017.884,2.429,1629526.0,4.835,0.073,13.7,tests performed,484289046.0,235641697.0,204510766.0,54515952.0,739364.0,1823545.0,145.87,70.97,61.6,16.42,5492.0,367871.0,0.111,48.6,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,934750.06,16.52,22.44,2773.7585
404152,USA,North America,United States,2021-12-06,48727363.0,0.0,107288.143,783935.0,0.0,1186.286,142672.05,0.0,314.136,2295.335,0.0,3.473,1.14,14455.0,42.73,57447.0,169.816,,,51847.0,153.262,681317036.0,1295034.0,2021.727,3.843,1618990.0,4.804,0.073,13.7,tests performed,486144144.0,236023505.0,204841482.0,55665403.0,1855098.0,1847858.0,146.43,71.09,61.7,16.77,5566.0,373004.0,0.112,48.59,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404153,USA,North America,United States,2021-12-07,48727363.0,0.0,107288.143,783935.0,0.0,1186.286,142672.05,0.0,314.136,2295.335,0.0,3.473,1.13,14771.0,43.664,58938.0,174.223,,,52788.0,156.044,683265512.0,1948476.0,2027.508,5.782,1626794.0,4.827,0.072,13.9,tests performed,488077793.0,236419094.0,205188659.0,56864150.0,1933649.0,1845184.0,147.01,71.21,61.8,17.13,5558.0,372643.0,0.112,48.58,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404154,USA,North America,United States,2021-12-08,48727363.0,0.0,107288.143,783935.0,0.0,1186.286,142672.05,0.0,314.136,2295.335,0.0,3.473,1.12,14901.0,44.048,59721.0,176.538,,,53647.0,158.583,685318658.0,2053146.0,2033.601,6.092,1638578.0,4.862,0.071,14.1,tests performed,490027226.0,236818857.0,205546716.0,58064083.0,1949433.0,1808056.0,147.59,71.33,61.91,17.49,5446.0,364883.0,0.11,48.57,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404155,USA,North America,United States,2021-12-09,48727363.0,0.0,107288.143,783935.0,0.0,1186.286,142672.05,0.0,314.136,2295.335,0.0,3.473,1.12,14992.0,44.317,60371.0,178.459,,,54693.0,161.675,687235183.0,1916525.0,2039.288,5.687,1619890.0,4.807,0.071,14.1,tests performed,491975536.0,237214719.0,205891338.0,59279160.0,1948310.0,1772460.0,148.18,71.45,62.01,17.85,5339.0,358519.0,0.108,48.55,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
404156,USA,North America,United States,2021-12-10,48727363.0,0.0,107288.143,783935.0,0.0,1186.286,142672.05,0.0,314.136,2295.335,0.0,3.473,1.12,15236.0,45.038,61162.0,180.798,,,55244.0,163.304,689087758.0,1852575.0,2044.785,5.497,1607795.0,4.771,0.071,14.1,tests performed,494116999.0,237632372.0,206296674.0,60604307.0,2141463.0,1724173.0,148.83,71.57,62.14,18.25,5193.0,349751.0,0.105,48.54,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
